Group;Vendor;"Nomor Kontainer";Size;"Tanggal Awal";"Tanggal Akhir";Periode;Masa;Tarif;Status;DPP;Adjustment;"DPP Nilai Lain";PPN;PPH;"Grand Total";"Status Pranota";"Pranota ID"
1;DPE;CBHU3952697;20;24-01-2025;23-02-2025;1;"Periode 1";Bulanan;ongoing;25000.00;0.00;22916.67;2750.00;500.00;27250.00;included;33
2;DPE;CBHU3952697;20;24-02-2025;23-03-2025;2;"Periode 2";Bulanan;ongoing;50000.00;0.00;45833.33;5500.00;1000.00;54500.00;included;34
3;DPE;CBHU3952697;20;24-03-2025;09-04-2025;3;"Periode 3";Harian;ongoing;75000.00;0.00;68750.00;8250.00;1500.00;81750.00;included;35
1;DPE;CBHU4077764;20;21-01-2025;20-02-2025;1;"Periode 1";Bulanan;ongoing;25000.00;0.00;22916.67;2750.00;500.00;27250.00;included;33
2;DPE;CBHU4077764;20;21-02-2025;20-03-2025;2;"Periode 2";Bulanan;ongoing;50000.00;0.00;45833.33;5500.00;1000.00;54500.00;included;34
3;DPE;CBHU4077764;20;21-03-2025;20-04-2025;3;"Periode 3";Bulanan;ongoing;75000.00;0.00;68750.00;8250.00;1500.00;81750.00;included;35
4;DPE;CBHU4077764;20;21-04-2025;20-05-2025;4;"Periode 4";Bulanan;ongoing;100000.00;0.00;91666.67;11000.00;2000.00;109000.00;included;36
5;DPE;CBHU4077764;20;21-05-2025;05-06-2025;5;"Periode 5";Harian;ongoing;125000.00;0.00;114583.33;13750.00;2500.00;136250.00;included;37
1;DPE;CBHU5876322;20;22-01-2025;21-02-2025;1;"Periode 1";Bulanan;ongoing;25000.00;0.00;22916.67;2750.00;500.00;27250.00;included;33
2;DPE;CBHU5876322;20;22-02-2025;21-03-2025;2;"Periode 2";Bulanan;ongoing;50000.00;0.00;45833.33;5500.00;1000.00;54500.00;included;34
3;DPE;CBHU5876322;20;22-03-2025;21-04-2025;3;"Periode 3";Bulanan;ongoing;75000.00;0.00;68750.00;8250.00;1500.00;81750.00;included;35
4;DPE;CBHU5876322;20;22-04-2025;21-05-2025;4;"Periode 4";Bulanan;ongoing;100000.00;0.00;91666.67;11000.00;2000.00;109000.00;included;36
5;DPE;CBHU5876322;20;22-05-2025;05-06-2025;5;"Periode 5";Harian;ongoing;125000.00;0.00;114583.33;13750.00;2500.00;136250.00;included;37
1;DPE;CBHU5911444;20;24-01-2025;23-02-2025;1;"Periode 1";Bulanan;ongoing;25000.00;0.00;22916.67;2750.00;500.00;27250.00;included;33
2;DPE;CBHU5911444;20;24-02-2025;23-03-2025;2;"Periode 2";Bulanan;ongoing;50000.00;0.00;45833.33;5500.00;1000.00;54500.00;included;34
3;DPE;CBHU5911444;20;24-03-2025;23-04-2025;3;"Periode 3";Bulanan;ongoing;75000.00;0.00;68750.00;8250.00;1500.00;81750.00;included;35
4;DPE;CBHU5911444;20;24-04-2025;23-05-2025;4;"Periode 4";Bulanan;ongoing;100000.00;0.00;91666.67;11000.00;2000.00;109000.00;included;36
5;DPE;CBHU5911444;20;24-05-2025;23-06-2025;5;"Periode 5";Bulanan;ongoing;125000.00;0.00;114583.33;13750.00;2500.00;136250.00;included;37
6;DPE;CBHU5911444;20;24-06-2025;23-07-2025;6;"Periode 6";Bulanan;ongoing;150000.00;0.00;137500.00;16500.00;3000.00;163500.00;included;38
7;DPE;CBHU5911444;20;24-07-2025;23-08-2025;7;"Periode 7";Bulanan;ongoing;175000.00;0.00;160416.67;19250.00;3500.00;190750.00;included;39
8;DPE;CBHU5911444;20;24-08-2025;29-08-2025;8;"Periode 8";Harian;ongoing;200000.00;0.00;183333.33;22000.00;4000.00;218000.00;included;40
1;DPE;CBHU5914130;20;23-01-2025;22-02-2025;1;"Periode 1";Bulanan;ongoing;25000.00;0.00;22916.67;2750.00;500.00;27250.00;included;33
2;DPE;CBHU5914130;20;23-02-2025;22-03-2025;2;"Periode 2";Bulanan;ongoing;50000.00;0.00;45833.33;5500.00;1000.00;54500.00;included;34
3;DPE;CBHU5914130;20;23-03-2025;22-04-2025;3;"Periode 3";Bulanan;ongoing;75000.00;0.00;68750.00;8250.00;1500.00;81750.00;included;35
4;DPE;CBHU5914130;20;23-04-2025;22-05-2025;4;"Periode 4";Bulanan;ongoing;100000.00;0.00;91666.67;11000.00;2000.00;109000.00;included;36
5;DPE;CBHU5914130;20;23-05-2025;26-05-2025;5;"Periode 5";Harian;ongoing;125000.00;0.00;114583.33;13750.00;2500.00;136250.00;included;37
1;DPE;CCLU3806500;20;22-01-2025;21-02-2025;1;"Periode 1";Bulanan;ongoing;25000.00;0.00;22916.67;2750.00;500.00;27250.00;included;33
2;DPE;CCLU3806500;20;22-02-2025;21-03-2025;2;"Periode 2";Bulanan;ongoing;50000.00;0.00;45833.33;5500.00;1000.00;54500.00;included;34
3;DPE;CCLU3806500;20;22-03-2025;09-04-2025;3;"Periode 3";Harian;ongoing;75000.00;0.00;68750.00;8250.00;1500.00;81750.00;included;35
1;DPE;CCLU3836629;20;21-01-2025;20-02-2025;1;"Periode 1";Bulanan;ongoing;25000.00;0.00;22916.67;2750.00;500.00;27250.00;included;33
2;DPE;CCLU3836629;20;21-02-2025;20-03-2025;2;"Periode 2";Bulanan;ongoing;50000.00;0.00;45833.33;5500.00;1000.00;54500.00;included;34
3;DPE;CCLU3836629;20;21-03-2025;20-04-2025;3;"Periode 3";Bulanan;ongoing;75000.00;0.00;68750.00;8250.00;1500.00;81750.00;included;35
4;DPE;CCLU3836629;20;21-04-2025;20-05-2025;4;"Periode 4";Bulanan;ongoing;100000.00;0.00;91666.67;11000.00;2000.00;109000.00;included;36
5;DPE;CCLU3836629;20;21-05-2025;20-06-2025;5;"Periode 5";Bulanan;ongoing;125000.00;0.00;114583.33;13750.00;2500.00;136250.00;included;37
6;DPE;CCLU3836629;20;21-06-2025;23-06-2025;6;"Periode 6";Harian;ongoing;150000.00;0.00;137500.00;16500.00;3000.00;163500.00;included;38
1;DPE;CSLU1004045;20;23-01-2025;22-02-2025;1;"Periode 1";Bulanan;ongoing;25000.00;0.00;22916.67;2750.00;500.00;27250.00;included;33
2;DPE;CSLU1004045;20;23-02-2025;22-03-2025;2;"Periode 2";Bulanan;ongoing;50000.00;0.00;45833.33;5500.00;1000.00;54500.00;included;34
3;DPE;CSLU1004045;20;23-03-2025;09-04-2025;3;"Periode 3";Harian;ongoing;75000.00;0.00;68750.00;8250.00;1500.00;81750.00;included;35
1;DPE;CSLU1247770;20;24-01-2025;23-02-2025;1;"Periode 1";Bulanan;ongoing;25000.00;0.00;22916.67;2750.00;500.00;27250.00;included;33
2;DPE;CSLU1247770;20;24-02-2025;23-03-2025;2;"Periode 2";Bulanan;ongoing;50000.00;0.00;45833.33;5500.00;1000.00;54500.00;included;34
3;DPE;CSLU1247770;20;24-03-2025;23-04-2025;3;"Periode 3";Bulanan;ongoing;75000.00;0.00;68750.00;8250.00;1500.00;81750.00;included;35
4;DPE;CSLU1247770;20;24-04-2025;23-05-2025;4;"Periode 4";Bulanan;ongoing;100000.00;0.00;91666.67;11000.00;2000.00;109000.00;included;36
5;DPE;CSLU1247770;20;24-05-2025;23-06-2025;5;"Periode 5";Harian;ongoing;125000.00;0.00;114583.33;13750.00;2500.00;136250.00;included;37
1;DPE;CXDU1108080;20;24-01-2025;23-02-2025;1;"Periode 1";Bulanan;ongoing;25000.00;0.00;22916.67;2750.00;500.00;27250.00;included;33
2;DPE;CXDU1108080;20;24-02-2025;23-03-2025;2;"Periode 2";Bulanan;ongoing;50000.00;0.00;45833.33;5500.00;1000.00;54500.00;included;34
3;DPE;CXDU1108080;20;24-03-2025;10-04-2025;3;"Periode 3";Harian;ongoing;75000.00;0.00;68750.00;8250.00;1500.00;81750.00;included;35
1;DPE;DPEU4869769;20;22-01-2025;21-02-2025;1;"Periode 1";Bulanan;ongoing;25000.00;0.00;22916.67;2750.00;500.00;27250.00;included;33
2;DPE;DPEU4869769;20;22-02-2025;21-03-2025;2;"Periode 2";Bulanan;ongoing;50000.00;0.00;45833.33;5500.00;1000.00;54500.00;included;34
3;DPE;DPEU4869769;20;22-03-2025;08-04-2025;3;"Periode 3";Harian;ongoing;75000.00;0.00;68750.00;8250.00;1500.00;81750.00;included;35
9;DPE;RXTU4540180;40;04-03-2025;03-04-2025;1;"Periode 1";Bulanan;ongoing;35000.00;0.00;32083.33;3850.00;700.00;38150.00;included;41
10;DPE;RXTU4540180;40;04-04-2025;03-05-2025;2;"Periode 2";Bulanan;ongoing;70000.00;0.00;64166.67;7700.00;1400.00;76300.00;included;42
11;DPE;RXTU4540180;40;04-05-2025;03-06-2025;3;"Periode 3";Bulanan;ongoing;105000.00;0.00;96250.00;11550.00;2100.00;114450.00;included;43
12;DPE;RXTU4540180;40;04-06-2025;03-07-2025;4;"Periode 4";Bulanan;ongoing;140000.00;0.00;128333.33;15400.00;2800.00;152600.00;included;44
13;DPE;RXTU4540180;40;04-07-2025;03-08-2025;5;"Periode 5";Bulanan;ongoing;175000.00;0.00;160416.67;19250.00;3500.00;190750.00;included;45
14;DPE;RXTU4540180;40;04-08-2025;03-09-2025;6;"Periode 6";Bulanan;ongoing;210000.00;0.00;192500.00;23100.00;4200.00;228900.00;included;46
15;DPE;RXTU4540180;40;04-09-2025;01-10-2025;7;"Periode 7";Harian;ongoing;245000.00;0.00;224583.33;26950.00;4900.00;267050.00;included;47
1;DPE;STXU2015218;20;22-01-2025;21-02-2025;1;"Periode 1";Bulanan;ongoing;25000.00;0.00;22916.67;2750.00;500.00;27250.00;included;33
2;DPE;STXU2015218;20;22-02-2025;21-03-2025;2;"Periode 2";Bulanan;ongoing;50000.00;0.00;45833.33;5500.00;1000.00;54500.00;included;34
3;DPE;STXU2015218;20;22-03-2025;21-04-2025;3;"Periode 3";Bulanan;ongoing;75000.00;0.00;68750.00;8250.00;1500.00;81750.00;included;35
4;DPE;STXU2015218;20;22-04-2025;21-05-2025;4;"Periode 4";Bulanan;ongoing;100000.00;0.00;91666.67;11000.00;2000.00;109000.00;included;36
5;DPE;STXU2015218;20;22-05-2025;26-05-2025;5;"Periode 5";Harian;ongoing;125000.00;0.00;114583.33;13750.00;2500.00;136250.00;included;37
