vendor;nomor_kontainer;size;periode;masa;old_dpp;new_dpp;days_in_period;daily_rate
ZONA;TEMU2694966;20;3;20 mei 2025 - 16 juni 2025;22522.00;630616.00;28;22522.00
ZONA;TEMU3028774;20;3;20 mei 2025 - 4 juni 2025;22522.00;360352.00;16;22522.00
ZONA;TEMU2817361;20;3;20 mei 2025 - 1 juni 2025;22522.00;292786.00;13;22522.00
ZONA;CXDU1244424;20;3;20 mei 2025 - 3 juni 2025;22522.00;337830.00;15;22522.00
ZONA;KDCU2171202;20;3;20 mei 2025 - 2 juni 2025;22522.00;315308.00;14;22522.00
ZONA;KDCU2171964;20;3;20 mei 2025 - 3 juni 2025;22522.00;337830.00;15;22522.00
ZONA;ZONA2213295;20;3;20 mei 2025 - 20 mei 2025;22522.00;22522.00;1;22522.00
ZONA;TRLU9657185;20;3;21 mei 2025 - 26 mei 2025;22522.00;135132.00;6;22522.00
ZONA;TEMU2697796;20;3;21 mei 2025 - 24 mei 2025;22522.00;90088.00;4;22522.00
ZONA;TEMU2326692;20;3;21 mei 2025 - 4 juni 2025;22522.00;337830.00;15;22522.00
ZONA;TEMU2254720;20;4;21 juni 2025 - 7 juli 2025;22522.00;382874.00;17;22522.00
ZONA;KDCU2172256;20;3;21 mei 2025 - 2 juni 2025;22522.00;292786.00;13;22522.00
ZONA;TEMU3000416;20;3;21 mei 2025 - 2 juni 2025;22522.00;292786.00;13;22522.00
ZONA;AXIU8464299;20;3;21 mei 2025 - 4 juni 2025;22522.00;337830.00;15;22522.00
ZONA;KDCU2171162;20;3;21 mei 2025 - 7 juni 2025;22522.00;405396.00;18;22522.00
ZONA;GLDU7620051;40;5;21 juli 2025 - 26 juli 2025;42042.00;252252.00;6;42042.00
ZONA;XINU1088532;20;2;21 mei 2025 - 19 juni 2025;22522.00;675660.00;30;22522.00
ZONA;TEMU2108730;20;2;21 mei 2025 - 12 juni 2025;22522.00;518006.00;23;22522.00
ZONA;SEGU2878170;20;2;21 mei 2025 - 12 juni 2025;22522.00;518006.00;23;22522.00
ZONA;CRXU2132025;20;4;21 juli 2025 - 21 juli 2025;22522.00;22522.00;1;22522.00
ZONA;GESU1145322;20;2;21 mei 2025 - 2 juni 2025;22522.00;292786.00;13;22522.00
ZONA;TGHU0636290;20;3;21 juni 2025 - 1 juli 2025;22522.00;247742.00;11;22522.00
ZONA;CXDU1436704;20;3;21 juni 2025 - 16 juli 2025;22522.00;585572.00;26;22522.00
ZONA;HMCU3062032;20;3;21 juni 2025 - 4 juli 2025;22522.00;315308.00;14;22522.00
ZONA;AMFU3170513;20;2;21 mei 2025 - 19 juni 2025;22522.00;675660.00;30;22522.00
ZONA;CSLU1034060;20;3;21 juni 2025 - 17 juli 2025;22522.00;608094.00;27;22522.00
ZONA;APZU3907870;20;2;21 mei 2025 - 1 juni 2025;22522.00;270264.00;12;22522.00
ZONA;WHLU0343593;20;2;21 mei 2025 - 31 mei 2025;22522.00;247742.00;11;22522.00
ZONA;OOLU1340682;20;2;21 mei 2025 - 31 mei 2025;22522.00;247742.00;11;22522.00
ZONA;WHLU0322899;20;3;21 juni 2025 - 21 juni 2025;22522.00;22522.00;1;22522.00
ZONA;EMCU6009872;20;2;22 mei 2025 - 12 juni 2025;22522.00;495484.00;22;22522.00
ZONA;OOLU1408611;20;2;22 mei 2025 - 14 juni 2025;22522.00;540528.00;24;22522.00
ZONA;OOLU1711021;20;3;22 juni 2025 - 9 juli 2025;22522.00;405396.00;18;22522.00
ZONA;OOLU1629952;20;2;22 mei 2025 - 13 juni 2025;22522.00;518006.00;23;22522.00
ZONA;OOLU1163740;20;3;22 juni 2025 - 7 juli 2025;22522.00;360352.00;16;22522.00
ZONA;IPXU3338970;20;2;22 mei 2025 - 1 juni 2025;22522.00;247742.00;11;22522.00
ZONA;OOLU1612414;20;3;22 juni 2025 - 5 juli 2025;22522.00;315308.00;14;22522.00
ZONA;OOLU1489022;20;2;22 mei 2025 - 17 juni 2025;22522.00;608094.00;27;22522.00
ZONA;SEGU1414719;20;3;22 juni 2025 - 4 juli 2025;22522.00;292786.00;13;22522.00
ZONA;EISU3954039;20;4;21 juli 2025 - 21 juli 2025;22522.00;22522.00;1;22522.00
ZONA;TGHU3117301;20;5;22 agustus 2025 - 7 september 2025;22522.00;382874.00;17;22522.00
ZONA;EISU3999218;20;2;22 mei 2025 - 31 mei 2025;22522.00;225220.00;10;22522.00
ZONA;XINU1520013;20;2;22 mei 2025 - 31 mei 2025;22522.00;225220.00;10;22522.00
ZONA;GLDU9708500;20;2;22 mei 2025 - 31 mei 2025;22522.00;225220.00;10;22522.00
ZONA;CAIU2744385;20;2;22 mei 2025 - 16 juni 2025;22522.00;585572.00;26;22522.00
ZONA;OOLU1576493;20;2;22 mei 2025 - 17 juni 2025;22522.00;608094.00;27;22522.00
ZONA;TAHU9033273;20;3;22 juni 2025 - 1 juli 2025;22522.00;225220.00;10;22522.00
ZONA;TEMU2733511;20;3;22 juni 2025 - 5 juli 2025;22522.00;315308.00;14;22522.00
ZONA;TEMU5086018;20;2;23 mei 2025 - 4 juni 2025;22522.00;292786.00;13;22522.00
ZONA;TRLU8986930;20;2;23 mei 2025 - 30 mei 2025;22522.00;180176.00;8;22522.00
ZONA;WHLU0273177;20;3;23 juni 2025 - 9 juli 2025;22522.00;382874.00;17;22522.00
ZONA;WHLU0249308;20;2;23 mei 2025 - 21 juni 2025;22522.00;675660.00;30;22522.00
ZONA;TGHU0387181;20;2;23 mei 2025 - 18 juni 2025;22522.00;608094.00;27;22522.00
ZONA;HCIU2104496;20;2;23 mei 2025 - 13 juni 2025;22522.00;495484.00;22;22522.00
ZONA;GESU1415053;20;2;23 mei 2025 - 31 mei 2025;22522.00;202698.00;9;22522.00
ZONA;GESU1426103;20;2;23 mei 2025 - 31 mei 2025;22522.00;202698.00;9;22522.00
ZONA;TGHU3827108;20;2;23 mei 2025 - 17 juni 2025;22522.00;585572.00;26;22522.00
ZONA;EMCU6006826;20;2;23 mei 2025 - 13 juni 2025;22522.00;495484.00;22;22522.00
ZONA;SEGU1410375;20;2;23 mei 2025 - 19 juni 2025;22522.00;630616.00;28;22522.00
ZONA;CLHU3602235;20;3;23 juni 2025 - 16 juli 2025;22522.00;540528.00;24;22522.00
ZONA;OOLU1539437;20;3;23 juni 2025 - 4 juli 2025;22522.00;270264.00;12;22522.00
ZONA;OOLU1412308;20;2;23 mei 2025 - 20 juni 2025;22522.00;653138.00;29;22522.00
ZONA;OOLU1694351;20;2;23 mei 2025 - 21 juni 2025;22522.00;675660.00;30;22522.00
ZONA;WHLU0201602;20;3;23 juni 2025 - 20 juli 2025;22522.00;630616.00;28;22522.00
ZONA;CXDU1285742;20;2;23 mei 2025 - 19 juni 2025;22522.00;630616.00;28;22522.00
ZONA;CLHU3586854;20;3;23 juni 2025 - 17 juli 2025;22522.00;563050.00;25;22522.00
ZONA;CRXU1091493;20;2;23 mei 2025 - 17 juni 2025;22522.00;585572.00;26;22522.00
ZONA;OOLU1453272;20;2;23 mei 2025 - 31 mei 2025;22522.00;202698.00;9;22522.00
ZONA;DRYU2524550;20;2;23 mei 2025 - 21 juni 2025;22522.00;675660.00;30;22522.00
ZONA;TGHU3222626;20;2;24 mei 2025 - 21 juni 2025;22522.00;653138.00;29;22522.00
ZONA;CRXU3034044;20;2;24 mei 2025 - 13 juni 2025;22522.00;472962.00;21;22522.00
ZONA;OOLU1375333;20;3;23 juni 2025 - 4 juli 2025;22522.00;270264.00;12;22522.00
ZONA;UESU2449004;20;3;23 juni 2025 - 5 juli 2025;22522.00;292786.00;13;22522.00
ZONA;TGHU0418003;20;3;23 juni 2025 - 7 juli 2025;22522.00;337830.00;15;22522.00
ZONA;CAIU3002816;20;2;23 mei 2025 - 19 juni 2025;22522.00;630616.00;28;22522.00
ZONA;IPXU2161093;20;2;23 mei 2025 - 13 juni 2025;22522.00;495484.00;22;22522.00
ZONA;WHLU0379929;20;2;23 mei 2025 - 13 juni 2025;22522.00;495484.00;22;22522.00
ZONA;CAIU2728656;20;2;23 mei 2025 - 14 juni 2025;22522.00;518006.00;23;22522.00
ZONA;WHLU0274023;20;2;23 mei 2025 - 14 juni 2025;22522.00;518006.00;23;22522.00
ZONA;GESU2832175;20;2;23 mei 2025 - 12 juni 2025;22522.00;472962.00;21;22522.00
ZONA;TEMU2624125;20;2;24 mei 2025 - 2 juni 2025;22522.00;225220.00;10;22522.00
ZONA;WHLU2857061;20;2;24 mei 2025 - 21 juni 2025;22522.00;653138.00;29;22522.00
ZONA;INBU3895064;20;2;24 mei 2025 - 1 juni 2025;22522.00;202698.00;9;22522.00
ZONA;OOLU1446632;20;2;24 mei 2025 - 2 juni 2025;22522.00;225220.00;10;22522.00
ZONA;OOLU1278354;20;2;24 mei 2025 - 16 juni 2025;22522.00;540528.00;24;22522.00
ZONA;TEMU2698998;20;2;24 mei 2025 - 18 juni 2025;22522.00;585572.00;26;22522.00
ZONA;WHLU2750453;20;2;24 mei 2025 - 15 juni 2025;22522.00;518006.00;23;22522.00
ZONA;BMOU2470200;20;2;24 mei 2025 - 12 juni 2025;22522.00;450440.00;20;22522.00
ZONA;GESU1048600;20;2;24 mei 2025 - 31 mei 2025;22522.00;180176.00;8;22522.00
ZONA;TGHU3988946;20;2;24 mei 2025 - 7 juni 2025;22522.00;337830.00;15;22522.00
ZONA;TEMU2869724;20;2;24 mei 2025 - 3 juni 2025;22522.00;247742.00;11;22522.00
ZONA;GLDU9566155;20;2;24 mei 2025 - 1 juni 2025;22522.00;202698.00;9;22522.00
ZONA;ZONA9900166;20;3;24 juni 2025 - 4 juli 2025;22522.00;247742.00;11;22522.00
ZONA;CAIU2857756;20;2;24 mei 2025 - 31 mei 2025;22522.00;180176.00;8;22522.00
ZONA;TEMU2722517;20;3;24 juni 2025 - 21 juli 2025;22522.00;630616.00;28;22522.00
ZONA;MSKU2016552;20;2;24 mei 2025 - 31 mei 2025;22522.00;180176.00;8;22522.00
ZONA;CAIU2427740;20;2;24 mei 2025 - 12 juni 2025;22522.00;450440.00;20;22522.00
ZONA;TEMU2775184;20;2;24 mei 2025 - 3 juni 2025;22522.00;247742.00;11;22522.00
ZONA;OOLU1731120;20;2;24 mei 2025 - 19 juni 2025;22522.00;608094.00;27;22522.00
ZONA;TGHU1849896;20;2;24 mei 2025 - 31 mei 2025;22522.00;180176.00;8;22522.00
ZONA;TGHU3067258;20;3;24 juni 2025 - 4 juli 2025;22522.00;247742.00;11;22522.00
ZONA;CBHU5531634;20;2;25 mei 2025 - 4 juni 2025;22522.00;247742.00;11;22522.00
ZONA;TEMU2869935;20;2;25 mei 2025 - 3 juni 2025;22522.00;225220.00;10;22522.00
ZONA;BMOU2717179;20;2;24 mei 2025 - 16 juni 2025;22522.00;540528.00;24;22522.00
ZONA;CRXU1143128;20;2;24 mei 2025 - 1 juni 2025;22522.00;202698.00;9;22522.00
ZONA;TEMU2863449;20;2;24 mei 2025 - 12 juni 2025;22522.00;450440.00;20;22522.00
ZONA;CLHU3457672;20;2;24 mei 2025 - 17 juni 2025;22522.00;563050.00;25;22522.00
ZONA;CCLU3910480;20;2;24 mei 2025 - 31 mei 2025;22522.00;180176.00;8;22522.00
ZONA;TGHU0115584;20;2;24 mei 2025 - 14 juni 2025;22522.00;495484.00;22;22522.00
ZONA;WHLU0281001;20;2;24 mei 2025 - 13 juni 2025;22522.00;472962.00;21;22522.00
ZONA;GESU2691605;20;2;25 mei 2025 - 2 juni 2025;22522.00;202698.00;9;22522.00
ZONA;WHLU2234884;20;2;25 mei 2025 - 14 juni 2025;22522.00;472962.00;21;22522.00
ZONA;FORU2928760;20;3;25 juni 2025 - 7 juli 2025;22522.00;292786.00;13;22522.00
ZONA;GATU1056446;20;3;25 juni 2025 - 2 juli 2025;22522.00;180176.00;8;22522.00
ZONA;DRYU2211480;20;2;25 mei 2025 - 18 juni 2025;22522.00;563050.00;25;22522.00
ZONA;SEGU1028779;20;2;25 mei 2025 - 14 juni 2025;22522.00;472962.00;21;22522.00
ZONA;XINU1085662;20;2;25 mei 2025 - 17 juni 2025;22522.00;540528.00;24;22522.00
ZONA;OOLU1529866;20;2;25 mei 2025 - 17 juni 2025;22522.00;540528.00;24;22522.00
ZONA;MSKU2439111;20;2;25 mei 2025 - 28 mei 2025;22522.00;90088.00;4;22522.00
ZONA;TGHU2384643;20;2;25 mei 2025 - 31 mei 2025;22522.00;157654.00;7;22522.00
ZONA;FSCU7800508;20;2;25 mei 2025 - 12 juni 2025;22522.00;427918.00;19;22522.00
ZONA;CPSU1636828;20;2;25 mei 2025 - 15 juni 2025;22522.00;495484.00;22;22522.00
ZONA;OOLU1486785;20;2;25 mei 2025 - 19 juni 2025;22522.00;585572.00;26;22522.00
ZONA;KKTU7693300;20;2;25 mei 2025 - 7 juni 2025;22522.00;315308.00;14;22522.00
ZONA;MSCU3806059;20;2;25 mei 2025 - 2 juni 2025;22522.00;202698.00;9;22522.00
ZONA;PRSU2162864;20;3;25 juni 2025 - 2 juli 2025;22522.00;180176.00;8;22522.00
ZONA;OOLU1334735;20;2;25 mei 2025 - 13 juni 2025;22522.00;450440.00;20;22522.00
ZONA;CRXU3003470;20;3;24 juni 2025 - 4 juli 2025;22522.00;247742.00;11;22522.00
ZONA;CCLU3714765;20;2;20 juni 2025 - 4 juli 2025;22522.00;337830.00;15;22522.00
ZONA;MAGU2133270;20;2;20 juni 2025 - 21 juni 2025;22522.00;45044.00;2;22522.00
ZONA;BMOU2422100;20;2;20 juni 2025 - 1 juli 2025;22522.00;270264.00;12;22522.00
ZONA;HLXU2336700;20;2;21 juni 2025 - 21 juni 2025;22522.00;22522.00;1;22522.00
ZONA;DFSU2296934;20;1;21 mei 2025 - 19 juni 2025;22522.00;675660.00;30;22522.00
ZONA;OOLU1536654;20;2;21 juni 2025 - 2 juli 2025;22522.00;270264.00;12;22522.00
ZONA;WLNU2915950;20;2;21 juni 2025 - 9 juli 2025;22522.00;427918.00;19;22522.00
ZONA;CAIU8340821;40;2;24 juni 2025 - 22 juli 2025;42042.00;1219218.00;29;42042.00
ZONA;CLHU3925177;20;1;12 desember 2024 - 2 januari 2025;22522.00;495484.00;22;22522.00
ZONA;ZWFU1000730;20;1;11 desember 2024 - 2 januari 2025;22522.00;518006.00;23;22522.00
ZONA;ZONA6987793;20;1;12 desember 2024 - 2 januari 2025;22522.00;495484.00;22;22522.00
