Id,"Nomor Tanda Terima","Tanggal Tanda Terima","No Surat Jalan Customer","Term Id","Nama Penerima","Pic Penerima","Telepon Penerima","Alamat Penerima","Nama Pengirim","Pic Pengirim","Telepon Pengirim","Alamat Pengirim","Nama Barang",Kuantitas,"Keterangan Barang","Gambar Surat Jalan",Supir,"No Plat","Tujuan Pengiriman Id","Tipe Kontainer","Nomor Kontainer","Size Kontainer","Nomor Seal","Jenis Kontainer","Tanggal Seal",Status,"Created By","Updated By","Created At","Updated At"
1,"LS1 0017548",2025-12-03,SJ.SUMO10450/2025,12,"PT TORARI BERKAT KEMURAHAN",,,"JL. GAJAH MADA, TIBAN LAMA NO.16 01/10
SEKUPANG BATAM","PD BUNGA MAWAR",,(0251)7531414,"JL. KEMANG RAYA NO. 526
KEMANG 04/09
BOGOR JAWA BARAT",SNACK,508,,,"Supir Customer","Plat Customer",3,lcl,AYPU3301648,20ft,0035259,,,draft,68,,"2025-12-04 00:38:35","2025-12-04 00:38:35"
3,,2025-12-04,SIL/2512/B1006,12,"T P I",,,"TANJUNG PINANG","SUMATRACO LANGGENG MAKMUR",,,SURABAYA,"GARAM ANAK TERBANG",525,,,SAFIKUN,"L 8773 IJA",11,lcl,AYPU2299714,20ft,0018635,,,draft,68,,"2025-12-04 23:08:58","2025-12-04 23:08:58"
5,,2025-12-09,353420150,12,"PT. BANGUN KAIROS PERKASA",,,"KOMPLEK PURI MESTIKA BLOK J RT.000 RW.000 KEL. BALOI PERMAI KEC. BATAM KOTA, KOTA BATAM KEPULAUAN RIAU","PT. SATYA LANGGENG SENTOSA",,,"Jl. Taman Aries Meruya Utara
Jakarta Barat","Keramik Roman",960,,"[""tanda-terima-lcl/gambar-surat-jalan/1765254730_6937a64a5043d.jpeg""]","Supir Customer","S 8988 LIX",3,lcl,,,,,,draft,130,,"2025-12-09 18:32:10","2025-12-09 18:32:10"
6,,2025-12-09,,12,"CV. BERJAYA TEKHNIK MANDIRI",,,Batam,"CV. MAJU SEJAHTERA","Bapak Ondi",,Jakarta,Pasir,200,,"[""tanda-terima-lcl/gambar-surat-jalan/1765273357_6937ef0d46084.jpeg""]","Supir Customer","Plat Customer",3,lcl,,,,,,draft,130,,"2025-12-09 23:42:37","2025-12-09 23:42:37"
7,,2025-12-09,353416588,12,"PT. BANGUN KAIROS PERKASA",,,"KOMPLEK PURI MESTIKA BLOK J RT.000 RW.000 KEL. BALOI PERMAI KEC. BATAM KOTA, KOTA BATAM KEPULAUAN RIAU","PT. SATYA LANGGENG SENTOSA",,,"Jl. Taman Aries Meruya Utara
Jakarta Barat","Keramik Roman",240,,"[""tanda-terima-lcl/gambar-surat-jalan/1765273570_6937efe28cee7.jpeg""]","Supir Customer",S8988IJX,3,lcl,,,,,,draft,130,,"2025-12-09 23:46:10","2025-12-09 23:46:10"
8,,2025-12-09,28/11/2025/RCI,12,"PT. BANGUN KAIROS PERKASA",,,"KOMPLEK PURI MESTIKA BLOK J RT.000 RW.000 KEL. BALOI PERMAI KEC. BATAM KOTA, KOTA BATAM KEPULAUAN RIAU","PT. SATYA LANGGENG SENTOSA",,,"Jl. Taman Aries Meruya Utara
Jakarta Barat","Keramik Roman",1200,,"[""tanda-terima-lcl/gambar-surat-jalan/1765273844_6937f0f46c2a4.jpeg""]","Supir Customer","S 8988 UX",3,lcl,,,,,,draft,130,,"2025-12-09 23:50:44","2025-12-09 23:50:44"
9,,2025-12-11,012899,12,"Thomas Angki",,,Batam,"Bintang Jaya",,,"Teluk Gong
Jakarta Utara","Makanan Ringan",80,,"[""tanda-terima-lcl/gambar-surat-jalan/1765434366_693a63fe407fc.jpeg""]","Supir Customer","Plat Customer",3,lcl,,,,,,draft,130,,"2025-12-11 20:26:06","2025-12-11 20:26:06"
10,,2025-12-11,12013,12,"BIMASAKTI SEMESTA",,,"Tanjung Pinang","PT. ASIA JAYA FOOD",,,"Bandung Barat",SNACK,650,,"[""tanda-terima-lcl/gambar-surat-jalan/1765434751_693a657fe2e30.jpeg""]","Supir Customer","Z 9693 MG",11,lcl,,,,,,draft,130,,"2025-12-11 20:32:31","2025-12-11 20:32:31"
11,,2025-12-11,,12,"PT. AYAM JAGO BATAM",,,"KOMP. HAPPY GARDEN H NO.147 KEL. BATU SELICIN KEC. LUBUK BAJA KOTA/KAB.BATAM KEPULAUAN RIAU","Bapak LUINATA",,,Jakarta,"Emping Thailand",100,,"[""tanda-terima-lcl/gambar-surat-jalan/1765435200_693a674068e8e.jpeg""]","Supir Customer","Plat Customer",3,lcl,,,,,,draft,130,,"2025-12-11 20:40:00","2025-12-11 20:40:00"
12,,2025-12-11,LTOPCB1A99XN1,12,SHOPEE,,,"KOSAMBI DC",SHOPEE,,,"KOSAMBI DC 
JAKARTA","PAKET SHOPEE",5452,,,"LINEHAUL ESP","B 9699 TJ",11,lcl,,,,,,draft,68,,"2025-12-11 21:51:15","2025-12-11 21:51:15"
13,,2025-12-11,LT1PCB1A9YSB1,12,SHOPEE,,,"TANJUNG PINANG DC",SHOPEE,,,"KOSAMBI DC
JAKARTA","PAKET SHOPEE",65,,"[""tanda-terima-lcl/gambar-surat-jalan/1765439769_693a79194e0c8.jpeg""]","LINEHAUL ESP","B 9698 TJ",11,lcl,,,,,,draft,68,,"2025-12-11 21:56:09","2025-12-11 21:56:09"
14,,2025-12-13,,3,"ACSET-DMB JO",Indah,,"TROPICANA RESIDENCE, BATAM CENTER BLOK A1 NO.7 SADAI BENGKONG KOTA BATAM KEPULAUAN RIAU 29432","ACSET-DMB JO",Kiat,,"TROPICANA RESIDENCE, BATAM CENTER BLOK A1 NO.7 SADAI BENGKONG KOTA BATAM KEPULAUAN RIAU 29432",serang,1,,,"Supir Customer","Plat Customer",3,lcl,ALLU2202097,20ft,,,,draft,30,,"2025-12-13 08:57:55","2025-12-13 08:57:55"
15,,2025-12-13,,4,"AGUS SETIAWAN",Indah,,"KOMPLEK PENGAIRAN NO.24 TANJUNG RIAU - SEKUPANG BATAM","AGUS SETIAWAN",Kiat,,"KOMPLEK PENGAIRAN NO.24 TANJUNG RIAU - SEKUPANG BATAM","SIKAT KAWAT, Kawat Besi",2,,,"Supir Customer","Plat Customer",3,lcl,CRSU1409664,20ft,1234122,,,draft,30,,"2025-12-13 09:05:33","2025-12-13 09:05:33"
16,,2025-12-13,STS1133,5,"AGUS SETIAWAN",Indah,,"KOMPLEK PENGAIRAN NO.24 TANJUNG RIAU - SEKUPANG BATAM","AGUSTINUS NURWAHYUDI",Kiat,,"KOMPLEK NIAGA BLOK E NO.3A SUKAJADI BATAM KOTA","SIKAT KAWAT, kawat gigi",2,,,"Supir Customer","Plat Customer",3,lcl,ALLU2202097,20ft,,,,draft,30,,"2025-12-13 09:45:31","2025-12-13 09:45:31"
